Job Name,Potential Strength,Max Angular Momentum,Spin Type,Status
V0.10_J02_spinless,0.1,2,spinless,COMPLETED
V0.10_J04_spinless,0.1,4,spinless,COMPLETED
V0.10_J06_spinless,0.1,6,spinless,COMPLETED
V0.10_J08_spinless,0.1,8,spinless,COMPLETED
V0.10_J10_spinless,0.1,10,spinless,COMPLETED
V0.10_J20_spinless,0.1,20,spinless,COMPLETED
V0.10_J30_spinless,0.1,30,spinless,RESUBMITTED
V0.10_J40_spinless,0.1,40,spinless,RESUBMITTED
V0.10_J50_spinless,0.1,50,spinless,RESUBMITTED
V0.50_J02_spinless,0.5,2,spinless,COMPLETED
V0.50_J04_spinless,0.5,4,spinless,COMPLETED
V0.50_J06_spinless,0.5,6,spinless,COMPLETED
V0.50_J08_spinless,0.5,8,spinless,COMPLETED
V0.50_J10_spinless,0.5,10,spinless,COMPLETED
V0.50_J20_spinless,0.5,20,spinless,COMPLETED
V0.50_J30_spinless,0.5,30,spinless,RESUBMITTED
V0.50_J40_spinless,0.5,40,spinless,RESUBMITTED
V0.50_J50_spinless,0.5,50,spinless,RESUBMITTED
V1.00_J02_spinless,1.0,2,spinless,COMPLETED
V1.00_J04_spinless,1.0,4,spinless,COMPLETED
V1.00_J06_spinless,1.0,6,spinless,COMPLETED
V1.00_J08_spinless,1.0,8,spinless,COMPLETED
V1.00_J10_spinless,1.0,10,spinless,COMPLETED
V1.00_J20_spinless,1.0,20,spinless,COMPLETED
V1.00_J30_spinless,1.0,30,spinless,RESUBMITTED
V1.00_J40_spinless,1.0,40,spinless,RESUBMITTED
V1.00_J50_spinless,1.0,50,spinless,RESUBMITTED
V2.00_J02_spinless,2.0,2,spinless,COMPLETED
V2.00_J04_spinless,2.0,4,spinless,COMPLETED
V2.00_J06_spinless,2.0,6,spinless,COMPLETED
V2.00_J08_spinless,2.0,8,spinless,COMPLETED
V2.00_J10_spinless,2.0,10,spinless,COMPLETED
V2.00_J20_spinless,2.0,20,spinless,COMPLETED
V2.00_J30_spinless,2.0,30,spinless,RESUBMITTED
V2.00_J40_spinless,2.0,40,spinless,RESUBMITTED
V2.00_J50_spinless,2.0,50,spinless,RESUBMITTED
